artist,genres...
BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']"
Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Jackson Dean,['modern country pop']
Thomas Rhett Featuring Riley Green,"['contemporary country', 'country', 'country road', 'modern country rock']"
Demi Lovato,"['pop', 'post-teen pop']"
Rosa Linn,['alt z']
Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']"
Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Elton John & Britney Spears,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
"DJ Khaled Featuring Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy","['hip hop', 'miami hip hop', 'pop rap', 'rap']"
DJ Khaled Featuring Future & SZA,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
